"","ID","Age","Experience","Income","ZIPCode","Family","CCAvg","Education","Mortgage","PersonalLoan","SecuritiesAccount","CDAccount","Online","CreditCard"
"520",3118,42,16,65,92614,3,0.5,3,256,0,0,0,1,0
"521",3625,58,28,70,92028,1,1.4,3,0,0,0,0,0,0
"522",1397,42,18,43,91107,1,0.3,3,158,0,0,0,0,0
"524",1909,50,26,22,92037,4,0.5,2,112,0,0,0,1,0
"525",4526,36,11,110,94110,1,3.8,1,0,0,0,0,1,1
"526",1354,50,25,14,94124,1,0.4,3,0,0,0,0,1,1
"527",1212,61,36,131,92407,1,0.9,1,0,0,0,0,1,0
"528",4609,44,19,28,91604,1,0.3,3,0,0,0,0,1,0
"529",4384,28,4,85,94709,3,2.5,1,0,0,0,0,1,0
"530",520,34,9,48,95616,1,2.5,3,105,0,0,0,1,0
"532",3102,55,31,91,93555,2,2.8,1,0,0,0,0,0,0
"534",709,35,10,21,92182,3,1.3,1,115,0,0,0,0,0
"535",4109,64,39,73,94025,3,2.2,1,0,0,1,0,0,1
"536",2225,38,12,29,92084,2,1.4,3,0,0,0,0,1,0
"537",3189,55,25,90,90717,2,4.5,3,0,0,0,0,0,1
"539",400,28,3,84,90024,4,0.2,1,0,0,0,0,1,1
"540",4783,26,0,150,91311,2,7.2,1,0,0,0,0,0,1
"542",1465,28,4,120,92333,2,0.6,1,0,0,0,0,1,0
"543",764,54,28,65,94122,1,0.2,1,0,0,0,0,0,1
"544",3397,52,28,65,93106,1,0,1,0,0,0,0,1,1
"545",2769,48,22,163,95819,1,2.4,1,396,0,0,0,1,0
"546",1032,56,32,25,95403,1,0.1,2,136,0,0,0,1,0
"547",901,30,4,51,94709,4,0.2,1,172,0,0,0,0,1
"548",1113,52,28,51,94949,1,1.6,3,0,0,1,0,0,1
"549",3185,39,15,141,92354,2,8,1,0,0,0,0,1,0
"550",4857,56,31,80,92069,4,1.3,3,0,0,0,0,1,0
"552",3418,39,12,23,90024,3,1,2,0,0,0,0,1,1
"555",4227,37,13,45,94591,1,1.8,1,0,0,0,0,0,0
"556",4641,30,6,42,90034,1,2.1,3,0,0,0,0,1,0
"557",2489,38,14,105,94708,2,1.9,1,0,0,0,0,1,0
"558",4054,35,11,90,94720,2,0,1,0,0,0,0,0,0
"561",1347,44,20,50,95670,3,2.33,1,200,0,0,0,0,0
"562",4504,45,21,33,92374,3,0.5,1,108,0,0,0,1,0
"563",4715,27,3,81,90291,3,1.5,1,307,0,1,1,1,1
"564",4790,58,34,84,95120,4,1.6,2,0,0,0,0,1,0
"565",88,48,22,78,94305,3,1.1,1,0,0,0,0,1,0
"566",717,29,5,31,96064,4,0.4,2,161,0,0,0,1,1
"567",3083,39,13,40,92122,3,0.9,3,129,0,0,0,1,0
"568",103,53,23,44,93555,3,1,3,198,0,0,0,1,1
"570",4697,59,35,70,92103,4,2.3,3,0,0,0,0,0,0
"571",890,24,-2,82,91103,2,1.6,3,0,0,0,0,1,1
"572",3163,33,7,28,94109,4,0.8,1,0,0,0,0,1,0
"573",1475,48,23,79,92124,2,3.8,3,0,0,0,0,1,0
"574",2457,54,30,39,95211,2,0.8,1,0,0,0,0,0,1
"575",133,31,1,51,90840,2,1.75,3,0,0,0,0,0,0
"578",3467,33,6,53,94122,2,1,2,96,0,0,0,0,1
"579",50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1
"580",3103,49,25,30,90095,4,0.9,2,0,0,0,0,0,1
"581",4519,53,28,30,94609,4,0.2,2,0,0,0,0,1,0
"582",1508,43,18,50,91006,4,1.9,3,0,0,0,0,0,0
"583",4598,34,10,68,90095,3,2.6,2,0,0,0,0,0,0
"584",2705,38,13,191,91710,2,3,1,0,0,0,0,1,0
"585",1247,48,22,59,91775,1,1.4,3,241,0,0,0,1,0
"587",2732,29,5,28,96651,1,0.2,3,0,0,0,0,1,0
"588",4898,43,18,44,91345,1,2.4,1,0,0,0,0,0,0
"589",4331,62,37,44,90401,1,1.1,3,0,0,0,0,0,0
"590",807,53,27,44,94542,4,1.5,3,0,0,0,0,0,0
"591",397,50,24,29,93023,4,0.1,1,0,0,0,0,0,0
"592",1932,28,2,140,92122,2,2,1,0,0,0,0,1,0
"593",4112,43,17,21,95351,3,1.5,1,0,0,0,0,0,0
"594",2719,59,33,68,95064,2,2.3,3,0,0,1,0,0,0
"595",4160,45,20,70,94305,4,1.9,3,0,0,0,0,1,1
"596",3704,67,41,78,94301,4,2.4,3,0,0,1,0,0,0
"597",858,49,25,30,95616,4,0.2,1,0,0,0,1,1,1
"598",4978,40,15,54,90266,3,0.8,3,0,0,0,0,1,0
"599",3074,29,5,149,94611,1,1.5,1,0,0,0,0,1,0
"600",3091,61,31,19,91109,1,1.5,3,0,0,0,0,1,0
"602",4034,54,24,69,93117,3,1.4,3,132,0,0,0,1,0
"604",1644,41,16,13,91125,2,0,3,0,0,0,0,1,0
"605",2761,32,7,49,94080,3,2.3,1,0,0,0,0,1,0
"606",3024,63,37,105,92694,4,1.7,3,244,0,0,0,0,1
"607",183,24,0,135,95133,1,1.5,1,0,0,0,0,1,0
"608",3940,47,23,12,92110,4,0.2,1,102,0,0,0,0,1
"609",3288,39,13,32,90747,2,0.8,3,0,0,0,0,1,0
"610",2468,40,16,83,92350,1,0.8,2,230,0,1,0,1,0
"611",3145,43,18,104,91711,3,1,1,0,0,0,0,1,0
"612",294,45,19,93,90095,4,2.6,3,0,0,0,0,0,0
"613",4092,32,6,122,94025,2,1.3,1,0,0,0,0,1,1
"615",3738,44,19,30,91423,1,0.5,3,0,0,0,0,1,0
"616",3011,25,1,72,94301,3,0.8,1,0,0,0,0,1,0
"618",3739,54,28,45,95008,3,1.4,1,0,0,0,0,0,1
"621",2309,39,13,58,94590,2,2.4,2,0,0,0,0,1,0
"622",2111,28,4,104,94301,3,2.5,1,0,0,0,0,0,0
"623",371,36,12,25,92101,4,1,1,147,0,0,0,0,0
"624",3907,61,35,60,90245,1,2.5,3,0,0,0,0,1,0
"626",4487,44,19,48,92735,3,0.8,3,0,0,0,0,0,1
"627",4165,35,10,23,90058,4,1.1,3,0,0,0,0,0,1
"628",1504,34,8,52,94720,4,2.2,2,0,0,0,0,0,0
"630",373,56,30,44,93105,4,0.7,2,174,0,0,0,1,0
"632",1746,37,12,40,90065,2,1.1,2,0,0,1,0,0,1
"633",3599,37,11,61,95120,3,0.9,2,0,0,0,0,0,0
"634",522,48,24,75,92518,4,1.4,2,0,0,0,0,1,0
"635",3645,59,33,41,91711,4,2.5,1,174,0,0,0,0,0
"636",2576,42,16,41,90401,3,0.5,3,0,0,0,0,1,0
"637",762,48,24,84,92152,3,0.7,1,166,0,0,0,1,0
"638",306,60,35,22,91207,1,1.3,1,123,0,0,0,1,0
"639",3280,26,-1,44,94901,1,2,2,0,0,0,0,0,0
"640",1829,30,4,25,92123,2,0.3,2,0,0,0,0,0,0
"641",1243,29,4,44,91380,4,2,2,0,0,0,0,1,0
"642",4108,47,22,81,94123,1,2.9,1,0,0,0,0,0,1
"644",150,48,22,42,93955,3,2.2,2,0,0,0,0,0,0
"645",1588,52,28,21,94035,2,0.4,1,0,0,1,0,1,0
"646",4572,58,28,95,94304,1,3,3,0,0,0,0,0,0
"647",4949,44,20,43,95032,1,0.7,1,0,0,0,0,0,1
"648",2561,44,18,71,93943,2,0.8,3,0,0,0,0,1,0
"649",996,28,3,45,94305,2,1.6,3,0,0,0,0,1,1
"651",667,52,26,112,92120,1,2.4,1,0,0,1,1,1,1
"652",4418,54,28,92,92374,2,1.1,1,0,0,0,0,1,0
"653",3284,56,30,29,92152,4,0.7,2,87,0,0,0,1,0
"654",356,43,19,71,92101,3,0.3,3,0,0,0,0,0,1
"655",2004,44,20,124,90277,1,4.7,1,0,0,0,0,1,1
"656",1365,44,19,69,92129,4,0.4,1,0,0,0,0,0,0
"657",65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0
"658",3137,60,34,65,95354,3,2.2,3,94,0,1,1,0,1
"661",4369,31,7,25,93943,2,1,2,0,0,1,1,1,1
"662",815,33,8,45,93943,2,0.1,1,0,0,0,0,0,1
"663",574,55,28,50,95020,3,1,2,0,0,0,0,1,1
"664",1276,27,2,92,95616,2,3.1,1,178,0,0,0,1,0
"665",1701,43,16,71,90089,3,2.33,2,0,0,0,0,0,0
"666",1399,42,18,141,93407,1,3.5,1,0,0,0,0,0,0
"667",4031,58,32,44,92354,1,0.8,2,0,0,0,0,0,0
"668",2609,61,35,79,94024,2,2,1,194,0,0,0,1,1
"669",1056,31,6,62,95630,1,1,1,0,0,1,0,1,0
"671",3994,30,6,13,93555,3,0.9,3,0,0,0,0,1,0
"672",2968,38,14,95,94109,2,1.9,1,0,0,0,0,1,1
"674",967,57,32,44,91605,2,1.6,3,0,0,0,0,0,0
"675",3343,38,13,84,91330,3,1.2,3,121,0,0,0,1,1
"676",2273,27,3,90,91365,3,0.8,1,0,0,0,0,1,0
"677",681,61,36,51,94706,3,1.5,1,0,0,0,0,0,1
"679",2943,29,5,160,90405,1,4.3,1,385,0,0,0,1,0
"681",2640,52,26,59,95762,3,3,2,0,0,0,0,1,0
"682",1312,37,11,35,90044,2,0.8,3,125,0,0,0,0,0
"683",4201,43,19,74,94035,4,1.9,1,0,0,0,0,0,1
"684",2152,41,16,19,91730,2,0.3,2,105,0,0,0,0,0
"685",911,60,36,79,92120,1,1.8,3,0,0,0,0,0,1
"687",1485,55,30,40,94126,2,2.3,3,0,0,1,0,1,0
"690",1961,44,19,30,95616,4,0,2,0,0,0,0,1,0
"691",2421,63,39,40,91304,1,0.8,1,118,0,0,0,0,1
"692",3742,53,29,51,92152,2,3.2,3,0,0,0,0,1,0
"693",4342,28,3,53,94305,2,1.6,3,0,0,0,0,0,0
"694",117,54,29,35,92831,1,1.5,2,0,0,0,0,1,0
"696",3209,53,29,61,95032,4,1.6,2,0,0,0,0,1,0
"697",173,38,13,171,92717,2,7.8,1,0,0,0,0,1,0
"698",1183,28,2,19,94720,4,0.4,1,0,0,0,0,1,1
"699",4037,46,21,13,93117,2,0.7,3,0,0,0,0,1,0
"701",849,57,32,19,94720,4,0.9,2,0,0,0,0,1,0
"702",3141,33,7,31,94303,4,1,1,0,0,0,0,1,1
"704",2800,64,39,85,94720,4,3.4,2,200,0,0,0,1,0
"705",2124,28,2,9,95014,1,0.1,2,0,0,0,0,1,0
"706",3873,53,29,63,94720,2,1,3,0,0,0,0,1,0
"707",1502,30,4,35,92130,2,0.3,2,0,0,1,0,0,1
"708",178,29,3,65,94132,4,1.8,2,244,0,0,0,0,0
"709",1778,52,27,34,93117,2,0.7,2,114,0,0,0,1,1
"710",279,50,26,21,91125,4,1,1,0,0,0,0,1,0
"711",2240,55,29,42,95833,4,2.5,1,0,0,1,0,0,0
"712",1844,30,6,154,90230,1,6,1,0,0,0,0,0,0
"713",1225,59,35,45,94920,1,1.8,3,0,0,0,0,1,0
"714",1139,30,6,83,93101,4,3.4,1,0,0,1,0,1,0
"715",425,56,30,38,92029,1,0.2,1,0,0,0,0,0,0
"716",2245,57,31,53,92806,1,0.8,2,120,0,0,0,0,0
"717",475,60,34,114,90028,2,6.9,1,0,0,0,0,1,0
"718",1538,58,34,41,94608,4,1.3,1,0,0,0,0,1,0
"719",2251,46,22,154,93109,1,5,1,0,0,0,0,1,0
"720",4945,49,24,33,92093,3,1.7,2,0,0,0,0,1,0
"724",2520,60,36,10,92121,2,1,1,0,0,0,0,1,1
"725",4930,62,36,39,92028,2,0.3,1,0,0,0,0,1,0
"726",3417,61,37,62,94111,1,0,2,244,0,0,0,1,0
"727",1699,44,20,149,92121,1,1.7,1,0,0,0,0,1,0
"728",3119,64,39,114,90095,1,0.8,3,0,0,0,0,1,0
"729",4952,53,27,65,92124,1,2.2,3,0,0,0,0,1,1
"730",2796,51,25,91,92407,1,0.8,3,0,0,0,0,0,0
"731",1043,64,34,50,95616,4,1.67,3,0,0,0,0,1,0
"732",4968,41,16,69,92697,1,0.1,2,0,0,0,0,1,0
"733",1391,29,3,80,94305,4,1.8,2,0,0,0,0,1,1
"734",4295,58,34,150,92110,1,7.4,1,481,0,0,0,1,0
"735",2815,54,28,53,94002,1,2.2,3,0,0,0,0,1,1
"736",4664,28,3,115,92407,1,1.9,1,200,0,0,0,1,0
"737",3711,49,22,23,90032,2,1,2,0,0,0,0,1,1
"738",3571,54,29,32,91107,2,0.6,3,0,0,0,0,1,1
"739",4439,43,18,22,90025,2,0,3,0,0,0,0,0,0
"740",2532,59,35,14,94305,2,1,1,107,0,0,0,1,0
"741",4796,46,21,39,91710,2,1.3,1,101,0,0,0,1,0
"742",3977,60,33,42,90277,4,2.5,2,194,0,0,0,1,0
"743",4345,53,28,181,95051,1,8.1,1,0,0,0,0,1,0
"744",2802,58,34,41,91016,4,0.4,1,177,0,0,0,1,0
"745",4380,42,17,53,93023,4,1.9,3,0,0,0,0,1,0
"746",2294,42,17,14,91768,2,0.1,2,0,0,0,0,1,0
"747",2485,46,21,30,92697,1,1.4,3,112,0,1,0,0,0
"748",1846,43,18,65,93065,2,2.2,3,0,0,0,0,1,0
"749",4755,57,33,93,94025,2,1.6,1,161,0,0,0,0,0
"750",98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0
"751",711,43,17,59,94085,3,0.9,3,87,0,0,0,1,1
"752",424,43,19,161,95616,2,7.5,1,0,0,0,0,0,0
"753",37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1
"754",2700,37,11,22,90035,3,0.1,2,114,0,0,0,0,0
"755",3345,43,19,110,90639,1,3.4,1,0,0,0,0,0,1
"757",4933,59,35,111,91107,1,4.3,1,0,0,0,0,1,0
"758",3010,33,9,74,92120,3,2.6,2,0,0,0,0,1,0
"759",691,59,34,52,94115,2,1.6,3,75,0,0,0,1,0
"760",3854,45,21,83,94105,4,2,3,0,0,0,0,1,0
"761",4723,40,16,63,92807,1,1.5,3,0,0,0,0,0,0
"762",2400,62,36,41,90245,2,1,3,154,0,1,0,1,0
"763",2866,59,33,23,94002,2,0.2,3,0,0,0,0,1,0
"766",954,51,26,28,92130,4,0.2,2,0,0,1,0,1,0
"767",3973,29,5,112,94998,2,4.33,1,0,0,0,0,1,1
"768",4610,54,28,80,95006,4,2.6,3,143,0,0,0,0,0
"770",3395,25,-1,113,90089,4,2.1,3,0,0,0,0,1,0
"771",4204,59,33,88,93106,4,1.9,2,0,0,0,0,0,0
"772",4944,26,0,12,96003,1,0.1,2,0,0,0,0,1,0
"774",1628,46,20,82,91016,3,0.7,2,0,0,0,0,1,1
"775",4252,42,16,62,95064,3,0.9,3,0,0,0,0,1,0
"776",622,41,17,114,91125,2,1.8,2,0,0,0,0,1,0
"777",190,55,29,112,94043,2,1.4,1,0,0,0,0,1,0
"778",2114,57,33,25,92064,2,1,1,0,0,0,0,1,0
"779",793,41,16,98,93117,1,4,3,0,0,0,0,0,1
"780",2464,35,9,44,92009,4,0.2,1,0,0,0,0,1,0
"782",466,66,42,35,94305,1,1.9,2,172,0,0,0,1,0
"784",4206,61,36,139,95133,2,3.9,1,0,0,0,0,0,0
"785",4000,47,21,90,90245,2,0.8,3,0,0,0,0,0,0
"786",2738,57,31,159,94577,2,0.5,1,0,0,0,0,0,0
"787",6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0
"789",2155,32,8,45,94558,1,2.4,2,0,0,0,0,0,0
"790",2818,31,7,105,94025,1,4,1,331,0,0,0,1,0
"791",3316,48,22,80,94720,3,1.1,1,0,0,0,0,0,0
"792",819,51,27,42,95039,4,1.1,2,0,0,0,0,1,1
"793",756,56,30,45,91103,4,0.7,2,0,0,0,0,0,1
"795",160,61,35,41,94545,4,1.7,2,0,0,1,0,1,0
"797",438,36,9,31,95825,4,1,2,0,0,1,0,1,0
"798",834,61,35,63,94939,3,2.2,3,0,0,0,0,0,0
"799",3945,56,26,62,91320,3,1.4,3,0,0,0,0,1,0
"800",4421,62,38,149,92130,1,4.7,1,0,0,0,0,1,0
"801",3900,60,34,43,92697,1,1.4,1,0,0,0,0,1,1
"802",2387,31,5,72,94542,3,1.6,1,0,0,0,0,1,0
"803",2654,30,5,121,94555,2,3.1,1,408,0,0,0,1,0
"805",2992,42,17,113,93014,3,1,1,0,0,1,0,1,0
"806",2921,60,35,44,94720,2,1.6,3,170,0,0,0,1,0
"807",2471,33,7,81,92122,2,4.5,3,187,0,0,1,1,1
"808",2389,64,39,23,91768,3,0.5,1,0,0,1,0,0,0
"809",4678,25,0,38,93407,2,1.6,3,0,0,0,0,0,0
"810",3200,33,9,20,95521,4,0.7,2,0,0,0,0,1,0
"811",2898,28,2,34,92161,4,1.3,3,0,0,0,0,0,0
"813",4362,55,30,42,93940,2,2,2,196,0,0,0,0,1
"814",4878,53,29,53,92648,4,0.1,3,0,0,0,0,0,0
"815",1664,57,32,42,95070,3,0.5,2,0,0,1,0,1,0
"816",2590,64,40,123,90840,1,3.8,1,0,0,0,0,1,1
"817",4948,39,13,41,95064,2,0.3,1,108,0,0,0,1,1
"818",1781,49,24,82,95051,1,2.9,1,267,0,0,0,1,0
"819",2222,59,33,73,92056,2,1.7,3,0,0,0,0,1,1
"821",3300,60,34,90,92192,4,1.9,2,0,0,0,0,1,0
"822",4010,42,18,189,91605,2,7.6,1,0,0,0,0,1,0
"823",4410,43,19,75,91765,4,0.2,3,102,0,0,0,1,0
"824",2129,65,40,40,94104,1,1.1,3,0,0,0,0,0,0
"825",805,54,28,34,94061,4,0.7,2,0,0,0,0,1,0
"826",1447,29,4,22,92661,2,0.9,3,110,0,0,0,0,0
"827",3779,66,41,14,95814,4,0.6,2,0,0,0,0,0,0
"828",4189,30,4,45,90041,4,1.3,3,0,0,0,0,0,0
"829",1458,42,16,25,94304,2,0.8,3,0,0,0,0,0,1
"830",1119,42,17,98,95670,2,0.4,1,0,0,0,0,1,1
"831",2476,52,26,79,95817,3,0.8,1,183,0,0,0,0,0
"832",4883,43,19,73,94301,3,2.33,1,0,0,1,1,1,1
"833",831,29,5,72,92407,3,0.7,2,81,0,0,0,0,0
"834",3707,58,33,51,94305,2,1.6,3,123,0,0,0,1,0
"836",4156,55,30,28,90291,4,0.1,3,149,0,0,0,1,1
"837",4834,49,24,109,92647,1,0.6,1,0,0,0,0,0,0
"838",2641,39,13,81,94309,2,2.8,1,0,0,0,0,1,0
"839",4776,44,14,33,94063,1,0.75,3,171,0,0,0,0,0
"840",151,46,22,118,94107,2,7.5,1,0,0,0,1,1,1
"841",3352,52,26,191,92121,1,1.7,1,0,0,0,0,1,0
"842",687,24,-1,38,92612,4,0.6,2,0,0,0,0,1,0
"844",2675,30,6,101,90245,2,0.6,1,0,0,0,0,1,0
"845",823,61,35,60,96091,3,1.4,3,0,0,0,0,0,0
"846",1792,48,22,139,94309,1,0,1,0,0,0,1,1,1
"848",4182,47,22,22,90024,1,0.4,3,0,0,0,0,1,0
"849",859,45,19,19,94720,3,0.5,2,0,0,0,0,1,0
"850",4277,50,24,155,92717,1,7.3,1,0,0,0,0,1,1
"851",2623,54,28,39,90245,4,0.7,2,0,0,0,0,1,0
"852",509,47,22,15,95521,2,0.7,3,0,0,0,0,0,0
"853",2574,58,34,80,90095,2,1.6,1,0,0,0,0,1,1
"854",659,52,26,35,91711,3,0.9,3,0,0,0,0,0,0
"855",4633,54,29,62,94720,4,0.7,1,0,0,0,0,0,1
"856",4894,42,12,39,94704,3,2,3,0,0,1,1,1,1
"858",3463,58,33,28,94608,2,0.5,2,146,0,1,0,1,0
"859",1133,34,9,55,94920,3,2.3,1,0,0,1,1,1,1
"860",4725,34,8,21,94107,4,1,1,0,0,0,0,0,0
"861",1763,65,35,55,94526,4,1.67,3,89,0,0,0,1,1
"862",2807,53,27,59,90740,2,0.8,3,0,0,0,0,1,0
"863",754,49,23,49,94720,1,1.2,2,0,0,0,0,1,1
"864",721,58,32,38,94025,1,2.2,3,0,0,0,0,0,0
"866",4390,58,32,40,90057,1,1.6,1,0,0,1,1,1,1
"867",4969,58,32,41,93022,4,2.5,1,0,0,0,0,1,1
"868",4548,50,25,32,94304,2,0.7,2,0,0,0,0,1,0
"869",676,29,2,33,91711,1,2,2,160,0,0,0,0,0
"870",4537,62,37,38,92354,3,0.5,2,0,0,0,0,0,0
"872",4007,56,32,28,92130,1,1.2,3,0,0,0,0,1,0
"873",4397,30,5,14,95014,4,0.5,3,0,0,0,0,1,0
"875",460,35,10,200,91107,2,3,1,458,0,0,0,0,0
"876",2098,37,11,14,90740,3,0.1,2,113,0,0,0,1,0
"878",648,62,38,64,95064,4,2.2,1,123,0,1,1,1,1
"879",536,51,25,132,94143,1,0.3,1,0,0,0,0,1,0
"880",1330,28,4,32,90095,3,1,2,0,0,0,0,0,0
"881",4648,59,35,43,95616,4,1.3,1,0,0,0,0,1,0
"882",1581,39,14,12,92093,2,0,3,0,0,0,0,0,0
"883",3691,63,39,41,95449,2,1.1,1,0,0,0,0,0,0
"884",4290,54,28,95,90254,1,1.9,2,0,0,0,0,1,0
"885",1249,44,19,35,94305,4,0,2,0,0,0,0,1,0
"886",3380,65,41,83,94305,3,2,3,0,0,0,0,1,0
"887",232,35,10,61,94304,4,2.1,3,0,0,0,0,1,0
"888",69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1
"889",3299,56,32,11,94110,2,0.3,1,89,0,0,0,0,0
"890",1171,35,10,104,91320,3,0.6,2,0,0,0,0,0,1
"891",2551,32,8,20,93106,1,0.5,3,102,0,0,0,1,0
"892",3867,51,25,40,91401,4,1.8,1,0,0,1,0,0,1
"893",2138,65,40,83,92354,4,0.1,2,247,0,0,0,1,0
"894",1582,53,29,24,94105,2,0.2,1,0,0,0,0,0,1
"895",2523,63,37,145,94025,2,6.9,1,0,0,0,0,1,0
"897",3016,44,18,68,92673,4,2.9,1,0,0,1,0,0,1
"898",2991,49,25,163,94608,2,0.4,1,0,0,1,0,0,0
"899",2238,30,5,134,92647,1,0,1,0,0,0,0,1,1
"900",2279,30,4,204,91107,2,4.5,1,0,0,0,0,1,0
"902",1687,62,38,39,96003,4,2.2,1,0,0,1,0,1,0
"903",1541,34,8,11,91320,4,0.3,1,0,0,1,1,1,1
"904",3317,56,26,63,94501,3,2,3,0,0,0,0,1,0
"905",4743,58,33,25,92121,4,0.9,2,90,0,0,0,1,1
"906",625,33,6,54,92821,2,1.67,2,122,0,0,0,1,0
"907",946,57,32,33,91745,1,1.5,2,0,0,0,0,1,0
"908",2909,57,32,22,95616,3,0.1,2,0,0,0,0,1,0
"909",215,54,28,94,90291,1,1.9,2,0,0,0,0,0,0
"910",1866,36,6,90,91342,4,1.8,3,0,0,1,0,0,0
"911",1745,28,3,29,91105,4,0.8,1,135,0,0,0,1,0
"912",934,50,23,9,92064,2,1,2,0,0,0,0,1,0
"913",4690,51,27,43,95053,4,1.1,2,164,0,0,0,1,1
"914",129,38,14,74,92182,2,0,1,0,0,1,0,1,0
"915",3128,40,14,61,94539,4,0.2,3,0,0,0,0,1,0
"916",882,44,19,154,92116,2,8.8,1,0,0,0,0,1,0
"918",3071,28,3,74,91330,2,1.8,2,221,0,1,0,0,0
"920",4820,32,6,41,95833,3,0.9,1,179,0,0,0,0,0
"921",225,52,27,58,94305,4,1.8,3,91,0,0,0,0,0
"922",3287,62,36,58,95020,1,2.8,2,0,0,0,0,0,1
"923",1090,53,29,94,92103,4,1,2,0,0,0,0,1,0
"924",70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0
"925",4063,38,14,43,95053,2,1.7,1,0,0,0,0,1,0
"926",3621,53,29,132,95020,2,0.3,1,403,0,0,0,0,0
"927",222,45,19,83,95051,2,1.7,2,0,0,0,0,1,0
"929",1859,35,11,65,90747,3,2.8,1,240,0,0,0,1,0
"930",3938,39,15,123,91604,2,2.2,1,92,0,0,0,0,1
"931",2827,37,11,21,94604,3,0.2,2,0,0,0,0,1,0
"932",3512,37,11,89,94609,1,1.5,3,0,0,0,0,1,0
"933",276,49,24,50,94706,4,1.8,3,0,0,1,0,0,0
"934",3201,48,23,70,92122,1,2.8,2,0,0,0,0,0,0
"935",4590,31,7,13,93727,1,0.5,3,0,0,0,0,1,0
"936",3743,32,8,181,94596,1,6,1,0,0,0,1,1,1
"937",315,63,37,45,93437,2,0.7,3,0,0,0,0,1,0
"938",3105,56,31,48,91775,2,2.1,3,0,0,0,0,0,1
"939",2586,51,26,70,91320,1,2.8,2,0,0,0,0,1,1
"940",1747,62,36,25,90740,3,0.3,3,0,0,0,0,1,1
"941",4450,30,6,44,95211,1,0.2,3,0,0,0,0,0,1
"942",2117,44,17,70,94920,3,2.67,2,0,0,0,0,0,0
"943",3544,37,11,194,94303,2,0,1,0,0,0,0,0,0
"944",3188,43,18,41,94035,1,0.5,3,0,0,0,0,0,0
"945",602,58,32,38,91320,1,1.4,1,0,0,0,0,1,1
"947",2742,29,3,49,90266,1,1.5,1,0,0,0,0,0,0
"948",623,41,17,92,93555,2,1.9,1,131,0,0,0,1,0
"951",1929,58,34,35,94122,1,1.2,3,0,0,0,0,1,0
"952",1860,67,41,20,91741,2,0.4,1,80,0,0,0,0,0
"953",2215,53,27,89,92735,1,0.8,3,146,0,0,0,1,1
"954",3701,48,22,128,94608,1,5.7,1,0,0,1,0,0,0
"955",1996,35,11,41,94720,1,2.4,2,0,0,0,0,0,0
"957",2120,39,13,50,94923,3,0.5,3,0,0,0,0,0,0
"958",1091,31,5,79,94720,4,2.2,2,0,0,0,0,0,0
"959",4744,50,26,21,94305,1,0.2,1,0,0,0,0,1,0
"960",2415,34,10,134,91775,1,4,1,0,0,0,0,0,0
"961",1282,39,15,52,92093,3,2.33,1,0,0,0,0,1,0
"962",3432,64,38,63,94305,2,1.7,3,184,0,1,0,1,0
"965",617,40,14,33,94025,2,1.4,3,0,0,0,0,1,1
"966",4026,51,27,53,94114,1,1.8,3,0,0,0,0,0,1
"967",3170,52,28,55,94608,1,1.6,2,227,0,0,0,0,0
"969",4463,33,7,39,95630,4,0.8,1,0,0,0,0,1,1
"970",1577,43,18,98,92131,2,0.4,1,0,0,0,0,1,0
"971",2091,50,25,79,95023,1,2.9,1,307,0,0,0,0,1
"972",316,24,-2,51,90630,3,0.3,3,0,0,0,0,1,0
"973",3567,57,33,80,92064,2,2.8,1,0,0,0,0,1,1
"974",3827,43,19,132,90089,1,5,1,0,0,0,0,0,0
"976",4657,47,21,38,91101,3,0.6,2,0,0,1,0,0,0
"977",192,51,25,29,90404,1,0.3,3,140,0,0,0,0,0
"978",2746,50,25,38,95616,1,1.3,2,120,0,0,0,0,1
"979",4672,39,14,104,95035,1,4,3,0,0,0,1,1,1
"980",4096,42,17,59,94105,4,0.4,1,0,0,0,0,1,0
"982",4651,47,23,63,95521,1,0.8,3,0,0,0,0,1,0
"984",1137,47,21,65,94086,1,1.5,2,0,0,1,0,1,0
"987",4385,45,20,61,92717,3,2.7,2,0,0,0,0,0,1
"988",478,64,39,24,95112,4,0.4,2,78,0,0,0,1,0
"989",1239,28,2,63,91116,2,1.6,3,0,0,0,0,1,0
"990",1937,50,24,82,90291,3,3,2,0,0,0,0,1,0
"991",2950,37,11,19,95054,3,0.2,2,0,0,0,0,1,0
"992",4352,30,3,32,94132,1,2,2,0,0,0,0,1,1
"993",242,48,22,71,91711,1,1.4,3,0,0,0,0,0,1
"994",2747,54,29,49,92703,2,2.1,3,95,0,0,0,1,1
"997",4805,58,32,40,94124,1,2.8,2,0,0,0,0,0,0
"999",1448,52,28,145,94131,2,6.8,1,0,0,0,0,1,0
"1001",3531,54,28,49,90073,4,2.8,2,0,0,1,0,0,0
"1002",3421,66,41,114,94305,1,0.8,3,0,0,0,0,1,1
"1003",2210,36,10,33,94080,3,0.9,1,0,0,0,0,0,0
"1004",3538,60,34,19,92093,3,0.3,3,0,0,0,0,1,0
